RAW > 1.4 7 0 94 94 -1
RAW > 1.4 8 0 96 96 -1
RAW > 1.4 9 0 50 50 -1
RAW > 1.407949895217 0 1 -1 -1 -1
RAW > 1.411949895217 0 1 -1 -1 -1
RAW > 1.455949895217 0 1 -1 -1 -1
RAW > 1.459949895217 0 1 -1 -1 -1
RAW > 1.5 0 0 56 56 -1
RAW > 1.5 1 0 84 84 -1
RAW > 1.5 2 0 63 63 -1
RAW > 1.5 3 0 6 6 -1
RAW > 1.5 4 0 77 77 -1
RAW > 1.5 5 0 38 38 -1
RAW > 1.5 6 0 9 9 -1
RAW > 1.5 7 0 94 94 -1
RAW > 1.5 8 0 96 96 -1
RAW > 1.5 9 0 50 50 -1
RAW > 1.503949895217 0 1 -1 -1 -1
RAW > 1.507949895217 0 1 -1 -1 -1
RAW > 1.551949895217 0 1 -1 -1 -1
RAW > 1.555949895217 0 1 -1 -1 -1
RAW > 1.599949895217 0 1 -1 -1 -1
RAW > 1.6 0 0 56 56 -1
RAW > 1.6 1 0 84 84 -1
RAW > 1.6 2 0 63 63 -1
RAW > 1.6 3 0 6 6 -1
RAW > 1.6 4 0 77 77 -1
RAW > 1.6 5 0 38 38 -1
RAW > 1.6 6 0 10 10 -1
RAW > 1.6 7 0 94 94 -1
RAW > 1.6 8 0 96 96 -1
RAW > 1.6 9 0 50 50 -1
RAW > 1.603949895217 0 1 -1 -1 -1
RAW > 1.647949895217 0 1 -1 -1 -1
RAW > 1.651949895217 0 1 -1 -1 -1
RAW > 1.695949895217 0 1 -1 -1 -1
RAW > 1.699949895217 0 1 -1 -1 -1
RAW > 1.7 0 0 56 56 -1
RAW > 1.7 1 0 84 84 -1
RAW > 1.7 2 0 63 63 -1
RAW > 1.7 3 0 6 6 -1
RAW > 1.7 4 0 77 77 -1
RAW > 1.7 5 0 38 38 -1
RAW > 1.7 6 0 10 10 -1
RAW > 1.7 7 0 94 94 -1
RAW > 1.7 8 0 96 96 -1
RAW > 1.7 9 0 50 50 -1
RAW > 1.743949895217 0 1 -1 -1 -1
RAW > 1.747949895217 0 1 -1 -1 -1
RAW > 1.791949895217 0 1 -1 -1 -1
RAW > 1.795949895217 0 1 -1 -1 -1
RAW > 1.8 0 0 56 56 -1
RAW > 1.8 1 0 84 84 -1
RAW > 1.8 2 0 63 63 -1
RAW > 1.8 3 0 6 6 -1
RAW > 1.8 4 0 77 77 -1
RAW > 1.8 5 0 38 38 -1
RAW > 1.8 6 0 10 10 -1
RAW > 1.8 7 0 94 94 -1
RAW > 1.8 8 0 96 96 -1
RAW > 1.8 9 0 50 50 -1
RAW > 1.839949895217 0 1 -1 -1 -1
RAW > 1.843949895217 0 1 -1 -1 -1
RAW > 1.887949895217 0 1 -1 -1 -1
RAW > 1.891949895217 0 1 -1 -1 -1
RAW > 1.9 0 0 56 56 -1
RAW > 1.9 1 0 83 83 -1
RAW > 1.9 2 0 63 63 -1
RAW > 1.9 3 0 6 6 -1
RAW > 1.9 4 0 77 77 -1
RAW > 1.9 5 0 38 38 -1
RAW > 1.9 6 0 10 10 -1
RAW > 1.9 7 0 94 94 -1
RAW > 1.9 8 0 95 95 -1
RAW > 1.9 9 0 50 50 -1
RAW > 1.935949895217 0 1 -1 -1 -1
RAW > 1.936141895217 2 2 -1 -1 0
RAW > 1.939949895217 0 1 -1 -1 -1
RAW > 1.940141895217 2 2 -1 -1 0
RAW > 1.983949895217 0 1 -1 -1 -1
RAW > 1.984141895217 2 2 -1 -1 0
RAW > 1.987949895217 0 1 -1 -1 -1
RAW > 2 0 0 56 56 -1
RAW > 2 1 0 83 83 -1
RAW > 2 2 0 63 63 -1
RAW > 2 3 0 6 6 -1
RAW > 2 4 0 77 77 -1
RAW > 2 5 0 38 38 -1
RAW > 2 6 0 10 10 -1
RAW > 2 7 0 94 94 -1
RAW > 2 8 0 95 95 -1
RAW > 2 9 0 50 50 -1
RAW > 2.031949895217 0 1 -1 -1 -1
RAW > 2.032141895217 2 2 -1 -1 0
RAW > 2.035949895217 0 1 -1 -1 -1
RAW > 2.079949895217 0 1 -1 -1 -1
RAW > 2.080141895217 2 2 -1 -1 0
RAW > 2.083949895217 0 1 -1 -1 -1
RAW > 2.084141895217 2 2 -1 -1 0
RAW > 2.1 0 0 56 56 -1
RAW > 2.1 1 0 83 83 -1
RAW > 2.1 2 0 63 63 -1
RAW > 2.1 3 0 6 6 -1
RAW > 2.1 4 0 77 77 -1
RAW > 2.1 5 0 38 38 -1
RAW > 2.1 6 0 10 10 -1
RAW > 2.1 7 0 94 94 -1
RAW > 2.1 8 0 95 95 -1
RAW > 2.1 9 0 49 49 -1
RAW > 2.127949895217 0 1 -1 -1 -1
RAW > 2.128141895217 2 2 -1 -1 0
RAW > 2.131949895217 0 1 -1 -1 -1
RAW > 2.132141895217 2 2 -1 -1 0
RAW > 2.175949895217 0 1 -1 -1 -1
RAW > 2.176141895217 2 2 -1 -1 0
